ProductoID;Producto Detalle;IVA;Referencia;Linea Negocio;descripcion
17;Auditoria Sistema SG- SST;19%;audit-sst;2;"Disponibilidad de auditor interno para la revisión del cumplimiento al SGSST (sistema de Gestión de la seguridad y salud en el trabajo) de la empresa, basado en Decreto 1072 de 2015 y Resolución 0312 de 2019. 02 Auditoria Realización de auditoria en campo de acuerdo al objetivo establecido, usando métodos como: Entrevista con personal, observación en campo, inspección por muestreo, verificación documental, entre otros a discreción del equipo auditor. 

Incluye:- Acompañamiento por (1) Un día de profesional especialista para realizar auditoría al SG-SST interno de la empresa.- Plan de auditoría, trabajo en campo y elaboración de informe de auditoría."
18;Análisis de Puesto de Trabajo;19%;apt;2;Estudio realizado con enfáis BIOMECÁNICO por Fisioterapeuta especialista en SST. Busca realizar acompañamiento, revisión y análisis del puesto de trabajo con énfasis ergonómico y ángulos de movimientos por patologías reportadas en solicitud de documentos para estudio de origen de enfermedad en proceso con EPS
19;Elementos proteccion Personal;19%;epp;2;Elementos y su distribución a instalaciones en ciudades principales
20;Evaluación de Carga mental;19%;carga-mental;2;"Estudio realizado por Profesional especialista en SST. Pretende realizar acompañamiento, revisión y análisis del puesto de trabajo para determinar factor de riesgo psicosocial de las actividades realizadas y medición de
CARGA MENTAL para las actividades desarrolladas por cada cargo en la empresa.

Incluye: Asignación de profesional, Papelería y documentación y equipos de medición necesarios."
21;Intervención Riesgo psicosocial;19%;lallave-enterprise;2;"Asiganción de profesional especialista por horas de acuerdo con programación de actividades de intervención basados en resultados de evaluación de riesgo psicosocial.

Incluye: Asignación de profesional especialista, visita de seguimiento presencial mensual, metodologías de intervención, herramientas de medición complementarias."
22;Investigación Accidente de trabajo;19%;acc-trab;2;"
(Aplicando metodología de investigación y criterios establecidos en Resolución 1401 de 2007).


Incluye disponibilidad de personal idóneo que analice la
documentación aportada por la empresa PREVIAMENTE para realizar el documento de investigación, análisis de causas y plan de acción, basándose en reporte de accidente de trabajo y declaraciones de los accidentados y/o testigos."
23;Capacitación acompañamiento Virtual SST;0%;virtual-sst;2;"SERVICIOS DE FORMACIÓN / CAPACITACIÓN:
Virtual

Servicio que comprende la realización de formación y/o capacitación en temas especificos.

Incluye:
Asignación de equipo profesional con disponibilidad horaria para atender grupos virtruales invitados.

Lecciones virtuales en los temas especificos de la formación.

Certificado de asistencia virtual"
24;Capacitacion virtual SARLAFT;0%;virtual-sarlaft;2;"SERVICIOS DE FORMACIÓN / CAPACITACIÓN:
Virtual

Servicio que comprende la realización de formación y/o capacitación en temas especificos.

Incluye:
Asignación de equipo profesional con disponibilidad horaria para atender grupos virtruales invitados.

Lecciones virtuales en los temas especificos de la formación.

Certificado de asistencia virtual"
25;Diseño y desarrollo WEB;0%;dev;1;"Desarrollo de herramienta web que permita capturar datos de reportes realizados desde la operación, consolidar y visualizar en tiempo real los resultados. Se realiza por modulos así:

Módulo X...

Incluye: Asignación de profesional, reuniones de seguimiento, entrega de usuarios. Seguiimiento a las funcionalidades. Reporte y mejora de acuerdo con reportes de novedades y correcciones sobre caracteristicas desarrolladas."
26;Licencias de Software;0%;licencia;1;
27;Distribución;0%;distrib;1;Gastos por desplazamiento de equipos y profesionales
31;Tamizaje;19%;tamizaje;2;Incluye: Asignación de profesional,  metodológia de evaluación, papaleria y documentación necesaria, trabajo en campo. Entrega y socialización de informe gerencial con recomendaciones organizacionales.
32;Plan Estratégico de seguridad Vial;19%;pesv;2;"
Visitas programadas para que nuestros profesionales realicen actividades de acompañamiento e implemementación del PESV 

Incluye: Acompañamiento por (4) Cuatro horas mensuales de equipo profesional para diseño e implementación de actividades de PESV.

Actualización de documentos, realización de capacitaciones, inspecciones, acompañamiento al comite de seguridad vial. De acuerdo con Resolución 40595 de 2022 y los componentes del PESV: 

Fortalecimiento de la Gestión Institucional. 
Vehículos Seguros 
Infraestructura física Atención a Victimas
Comportamiento Humano"
33;Auditoria PESV;19%;audit-pesv;2;"Disponibilidad de auditor interno para la revisión del cumplimiento al PESV  (Plan Estrategico de Seguridad Vial) de la empresa ubicada en Bogotá D.C.

Incluye: Asignación de profesional, Papeleria y
documentación necesaria, Entrega de informe final."
34;Otros servicios;19%;otros;2;"Incluye: Asignación de profesional, Papeleria y documentación necesaria. 

Entrega de informe"
35;Otros servicios Exentos;0%;otros-exnt;2;
36;SST inhouse;19%;sst-inhouse;2;"Asiganción de profesional especialista de acuerdo con programación de actividades.

Incluye: Asignación de profesional especialista, visita de seguimiento presencial mensual, metodologías de intervención, herramientas de medición complementarias."
37;Capacitacion Virtual Buenas practicas Manfactura;0%;cap-bpm;2;"Curso virtual sobre buenas prácticas en la manipulación de alimentos vigencia ANUAL:

Incluye:

Capacitación presencial sobre BPM por parte de un profesional asignado para la empresa (Actividad coordinada una vez se apruebe la cotización).

Acceso a curso virtual que contiene material de capacitación en buenas practicas para la manipulación de alimentos.

Lecciones virtuales en los procesos de manipulación de alimentos.

Certificado virtual sobre Buenas Prácticas en la Manipulación.

Carnet individual certificando la participación en el curso."
