No Cotizacion;Cod;Producto;concepto;medida;cantidad;Iva;vr/unitario;vr total;;;
GC-01-2022-097;12;Otros servicios;Vibraciones;Unidad;1;19%; $ 750.000 ; $ 750.000 ;;;
GC-01-2022-098;10;Medición de ruido ambiental por sonometría:;"Es un estudio a nivel ocupacional de fuentes de ruido puntuales que se realiza por intervalos cortos de tiempo, con el fin de conocer exposición a niveles de iluminación generados durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 350.000 ; $ 350.000 ;;;
GC-01-2022-098;10;Medición de material particulado (gases y vapores):;"Evaluación de Riesgo Higiénico, que se basa en la comparación de las concentraciones ambientales resultanates de las mediciones en el puesto de trabajo, en relación con los valores de referencia prestablecidos.

Material particulado (Normas NIOSH 500 y 600) evaluación de ambientes de trabajo con material particulado, humo, gases y vapores.

Evaluación de la exposición de material particula Inhalable y Respirable mediante bombas de succión. 

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Unidad;2;19%; $ 1.075.000 ; $ 2.150.000 ;;;
GC-01-2022-099;04;Profesiograma por cargos:;"Método de estudio para determinar las exigencias del trabajo y las aptitudes mínimas para su desempeño. Su objetivo es seleccionar al personal más adecuado, analizando tanto los requisitos del puesto de trabajo como la carcaterización psicofísica y biológica del aspirante o trabajador. 

Incluye: Asignación de profesional especialista SST.  Firma y aprobación de documentación relacionada. Entrega del profesiograma aprobado para presentar a las autoridades.";Global;1;19%; $ 650.000 ; $ 650.000 ;;;
GC-01-2022-100;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;74;19%; $ 19.800 ; $ 1.465.200 ;;;
GC-01-2022-100 v1;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;72;19%; $ 19.800 ; $ 1.425.600 ;;;
GC-01-2022-101;10;Medición de ruido ambiental por sonometría:;"Evaluación de emisión de ruido ambiental en un día hábil, en horario diurno y nocturno aplicando Resolución 8321 de 1983 y 1792 de 1990.  Incluye elaboración de informe final y mapa de ruido*
 

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 450.000 ; $ 450.000 ;;;
GC-01-2022-101;10;Medición de material particulado (gases y vapores):;"Evaluación de Riesgo Higiénico, que se basa en la comparación de las concentraciones ambientales resultanates de las mediciones en el puesto de trabajo, en relación con los valores de referencia prestablecidos.

Material particulado (Normas NIOSH 500 y 600) evaluación de ambientes de trabajo con material particulado, humo, gases y vapores.

Evaluación de la exposición a contaminantes: Estimacion inicial, estudio básico y detallado basado en la medición in situ de los agentes quimicos.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Punto;1;19%; $ 1.315.000 ; $ 1.315.000 ;;;
GC-01-2022-102;13;Diseño / Actualización del SG-SST;"Incluye: Visitas programadas para crear o actualizar la documentación y manual del SG-SST de la empresa. De acuerdo con DUR 1072/2015 y Resolución 0312/2019

Firma y aprobación de documentación relacionada. 

Entrega del manual del SG-SST aprobado para presentar a las autoridades.

Curso virtual de 50 horas sobre SG-SST ";Global;2;19%; $ 500.000 ; $ 1.000.000 ;;;
GC-01-2022-102;13;Diseño / Actualización del SG-SST;"Visitas programadas para que nuestros profesionales realicen actividades de acompañamiento e implemementación del SG-SST.

Incluye: Acompañamiento por (4) Cuatro horas mensuales de equipo profesional para diseño e implementación de actividades de SGSST (Psicólogo, Ingeniero SST, Fisioterapeuta).

Actualización de documentos, realización de capacitaciones, inspecciones, acompañamiento al vigia SST, plan de emergencias y contratistas.  De acuerdo con DUR 1072/2015 y Resolución 0312/2019

Certificación mensual.
Curso virtual de 50 horas sobre SG-SST ";Mensual;10;19%; $ 200.000 ; $ 2.000.000 ;;;
GC-01-2022-103;10;Medición de ruido ambiental por sonometría:;"
Es un estudio a nivel ocupacional de una fuente de ruido puntual que se realiza por intervalos cortos de tiempo, con el fin de conocer la exposición de ruido generado durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 450.000 ; $ 450.000 ;;;
GC-01-2022-103;10;Medición de iluminación por luxómetria:;"

Es un estudio a nivel ocupacional de fuentes de iluminación puntuales que se realiza por intervalos cortos de tiempo, con el fin de conocer exposición a niveles de iluminación generados durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 450.000 ; $ 450.000 ;;;
GC-01-2022-104;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;13;19%; $ 48.000 ; $ 624.000 ;;;
GC-01-2022-105;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;8;19%; $ 55.000 ; $ 440.000 ;;;
GC-01-2022-106;10;Medición de ruido ambiental por sonometría:;"
Es un estudio a nivel ocupacional de una fuente de ruido puntual que se realiza por intervalos cortos de tiempo, con el fin de conocer la exposición de ruido generado durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 450.000 ; $ 450.000 ;;;
GC-01-2022-106;10;Medición de iluminación por luxómetria:;"

Es un estudio a nivel ocupacional de fuentes de iluminación puntuales que se realiza por intervalos cortos de tiempo, con el fin de conocer exposición a niveles de iluminación generados durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 450.000 ; $ 450.000 ;;;
GC-01-2022-107;09;Análisis de Puesto de Trabajo;Estudio realizado con enfáis BIOMECÁNICO por Fisioterapeuta especialista en SST. Busca realizar acompañamiento, revisión y análisis del puesto de trabajo con énfasis ergonómico y ángulos de movimientos por patologías reportadas en solicitud de documentos para estudio de origen de enfermedad en proceso con EPS;Unidad;6;19%; $ 450.000 ; $ 2.700.000 ;;;
GC-01-2022-108;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;9;19%; $ 54.000 ; $ 486.000 ;;;
GC-01-2022-109;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;12;19%; $ 48.000 ; $ 576.000 ;;;
GC-01-2022-110;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;110;19%; $ 23.000 ; $ 2.530.000 ;;;
GC-01-2022-111;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;120;19%; $ 23.000 ; $ 2.760.000 ;;;
GC-01-2022-112;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;10;19%; $ 54.000 ; $ 540.000 ;;;
GC-01-2022-112;04;Profesiograma por cargos:;"Método de estudio para determinar las exigencias del trabajo y las aptitudes mínimas para su desempeño. Su objetivo es seleccionar al personal más adecuado, analizando tanto los requisitos del puesto de trabajo como la carcaterización psicofísica y biológica del aspirante o trabajador. 

Incluye: Asignación de profesional especialista SST.  Firma y aprobación de documentación relacionada. Entrega del profesiograma aprobado para presentar a las autoridades.";Global;1;19%; $ 650.000 ; $ 650.000 ;;;
GC-01-2022-113;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;35;19%; $ 30.000 ; $ 1.050.000 ;;;
GC-01-2022-114;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;2082;19%; $ 24.000 ; $ 49.968.000 ;;;
GC-01-2022-115;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;26;19%; $ 30.000 ; $ 780.000 ;;;
GC-01-2022-116;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;26;19%; $ 30.000 ; $ 780.000 ;;;
GC-01-2022-117;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;898;19%; $ 24.000 ; $ 21.552.000 ;;;
GC-01-2022-052 v1;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;1700;19%; $ 31.294 ; $ 53.199.800 ;;;
GC-01-2022-118;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;48;19%; $ 26.000 ; $ 1.248.000 ;;;
GC-01-2022-119;12;Otros servicios;"Estudio de vapores orgánicos Volátiles::

Evaluación de emisión de vapores inorgánicos en un día hábil en horario diurno de acuerdo con la norma NIOSH O ACGIH, lectura directa con tubos  colorimétricos (colorimetría).  Con lectura abierta.Toma 3 muestras de acido acetico con tubo de carbon activado o sustancias quimicas inorganicas en cada laboratorio.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;2;19%; $ 1.600.000 ; $ 3.200.000 ;;;
GC-01-2022-119;12;Otros servicios;"Estudio de calidad de aire en laboratorio:

Estudio realizado para medir la calidad de aire y particulas finas de 2. PPM Y 10 PPM en laboratorios.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;2;19%; $ 2.400.000 ; $ 4.800.000 ;;;
GC-01-2022-119;11;Distribución;Transporte Villa de Leyva y Bogotá;Unidad;1;0%; $ 600.000 ; $ 600.000 ;;;
GC-01-2022-120;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;134;19%; $ 26.000 ; $ 3.484.000 ;;;
GC-01-2022-121;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;14;19%; $ 45.000 ; $ 630.000 ;;;
GC-01-2022-122;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;450;19%; $ 22.000 ; $ 9.900.000 ;;;
GC-01-2022-123;04;Profesiograma por cargos:;"Método de estudio para determinar las exigencias del trabajo y las aptitudes mínimas para su desempeño. Su objetivo es seleccionar al personal más adecuado, analizando tanto los requisitos del puesto de trabajo como la carcaterización psicofísica y biológica del aspirante o trabajador. 

Incluye: Asignación de profesional especialista SST.  Firma y aprobación de documentación relacionada. Entrega del profesiograma aprobado para presentar a las autoridades.";Global;1;19%; $ 650.000 ; $ 650.000 ;;;
GC-01-2022-123;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;60;19%; $ 25.000 ; $ 1.500.000 ;;;
GC-01-2022-123;06;Auditoria Sistema SG- SST;"Disponibilidad de auditor interno para la revisión del cumplimiento al SGSST (sistema de Gestión de la seguridad y salud en el trabajo) de la empresa ubicada en Bogotá D.C.

Incluye: Asignación de profesional, Papeleria y
documentación necesaria, Entrega de informe final.";Unidad;1;1%; $ 1.350.000 ; $ 1.350.000 ;;;
GC-01-2022-124;10;Medición de ruido ambiental por sonometría:;"
Es un estudio a nivel ocupacional de una fuente de ruido puntual que se realiza por intervalos cortos de tiempo, con el fin de conocer la exposición de ruido generado durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;2;19%; $ 550.000 ; $ 1.100.000 ;;;
GC-01-2022-124;10;Medición de iluminación por luxómetria:;"

Es un estudio a nivel ocupacional de fuentes de iluminación puntuales que se realiza por intervalos cortos de tiempo, con el fin de conocer exposición a niveles de iluminación generados durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;3;19%; $ 450.000 ; $ 1.350.000 ;;;
GC-01-2022-125;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;100;19%; $ 26.000 ; $ 2.600.000 ;;;
GC-01-2022-126;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;19;19%; $ 30.000 ; $ 570.000 ;;;
GC-01-2022-127;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;180;19%; $ 24.000 ; $ 4.320.000 ;;;
GC-01-2022-128;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación Anexo de Encuesta de clima laboral:

Disponibilidad de profesional especialista para aplicación de cuestionarios psicológicos.

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;26;19%; $ 20.400 ; $ 530.400 ;;;
GC-01-2022-129;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;126;19%; $ 25.000 ; $ 3.150.000 ;;;
GC-01-2022-131;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;30;19%; $ 26.000 ; $ 780.000 ;;;
GC-01-2022-130;;;;;;;;;;;
GC-01-2022-132;10;Medición de ruido ambiental por sonometría:;"
Es un estudio a nivel ocupacional de una fuente de ruido puntual que se realiza por intervalos cortos de tiempo, con el fin de conocer la exposición de ruido generado durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 600.000 ; $ 600.000 ;;;
GC-01-2022-132;10;Medición de temperatura y humedad:;"
Estudio a nivel ocupacional para medir confort o disconfort térmico, se mide mediante magnitudes termométricas, es decir, diferentes unidades que representan la temperatura a distintas escalas. 

Incluye: Asignación de profesional, Papelería y documentación necesaria.";Global;1;19%; $ 590.000 ; $ 590.000 ;;;
GC-01-2022-132;10;Medición de iluminación por luxómetria:;"Es un estudio a nivel ocupacional de fuentes de iluminación puntuales que se realiza por intervalos cortos de tiempo, con el fin de conocer exposición a niveles de iluminación generados durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 450.000 ; $ 450.000 ;;;
GC-01-2022-132 v2;12;Otros servicios;Vibraciones;Global;1;19%; $ 2.590.200 ; $ 2.590.200 ;;;
GC-01-2022-078 v1;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

UNIDAD DE NEGOCIO: DOMESA

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional en ciudades principales, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. 

Entrega de informe final.

";Unidad;1800;19%; $ 21.000 ; $ 37.800.000 ;;;
GC-01-2022-078 v2;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

UNIDAD DE NEGOCIO: DOMESA

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional en ciudades principales, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. 

Entrega de informe final.

";Unidad;794;19%; $ 21.000 ; $ 16.674.000 ;;;
GC-01-2022-078 v3;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

UNIDAD DE NEGOCIO: E-PAGO

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional en ciudades principales, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. 

Entrega de informe final.

";Unidad;942;19%; $ 21.000 ; $ 19.782.000 ;;;
GC-01-2022-078 v4;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

UNIDAD DE NEGOCIO: PyC

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional en ciudades principales, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. 

Entrega de informe final.";Unidad;119;19%; $ 21.000 ; $ 2.499.000 ;;;
GC-01-2022-133;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;80;19%; $ 21.000 ; $ 1.680.000 ;;;
GC-01-2022-134;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;60;19%; $ 23.000 ; $ 1.380.000 ;;;
GC-01-2022-135;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional en ciudades principales, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. 

Entrega de informe final.";Unidad;290;19%; $ 21.000 ; $ 6.090.000 ;;;
GC-01-2022-117 v1;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;543;19%; $ 25.000 ; $ 13.575.000 ;;;
GC-01-2022-136;10;Medición de iluminación por luxómetria:;"

Es un estudio a nivel ocupacional de fuentes de iluminación puntuales que se realiza por intervalos cortos de tiempo, con el fin de conocer exposición a niveles de iluminación generados durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 600.000 ; $ 600.000 ;;;
GC-01-2022-137;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;12;19%; $ 40.000 ; $ 480.000 ;;;
GC-01-2022-138;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;7;19%; $ 60.000 ; $ 420.000 ;;;
GC-01-2022-139;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;76;19%; $ 25.000 ; $ 1.900.000 ;;;
GC-01-2022-140;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;19;19%; $ 33.000 ; $ 627.000 ;;;
GC-01-2022-141;10;Medición de ruido ambiental por sonometría:;"Es un estudio a nivel ocupacional de fuentes de ruido puntuales que se realiza por intervalos cortos de tiempo, con el fin de conocer exposición a niveles de iluminación generados durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Punto;18;19%; $ 50.000 ; $ 900.000 ;;;
GC-01-2022-141;10;Medición de confort Térmico:;"Evaluación de confort o estres térmico en un día hábil en horario diurno de acuerdo con las normas de la Conferencia Americana de Higienistas Industriales Gubernamentales de los Estados Unidos la ACGIH en 2014, norma acogida por el Ministerio de Trabajo.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Punto;13;19%; $ 100.000 ; $ 1.300.000 ;;;
GC-01-2022-141;10;Medición de iluminación por luxómetria:;"Es un estudio a nivel ocupacional de fuentes de iluminación puntuales que se realiza por intervalos cortos de tiempo, con el fin de conocer exposición a niveles de iluminación generados durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Punto;56;19%; $ 35.000 ; $ 1.960.000 ;;;
